# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
2.2751163e+06	1.7547181e+02	6.9133142e+17	1.6748649e-02
2.2840518e+06	1.7547181e+02	6.8445256e+17	1.6581997e-02
2.2929873e+06	1.7547181e+02	6.7764215e+17	1.6417003e-02
2.3019228e+06	1.7547181e+02	6.7089949e+17	1.6253652e-02
2.3108583e+06	1.7547181e+02	6.6422393e+17	1.6091925e-02
2.3197938e+06	1.7547181e+02	6.5761479e+17	1.5931808e-02
2.3287293e+06	1.7547181e+02	6.5107142e+17	1.5773284e-02
2.3376648e+06	1.7547181e+02	6.4459315e+17	1.5616337e-02
2.3466003e+06	1.7547181e+02	6.3817934e+17	1.5460952e-02
2.3555358e+06	1.7547181e+02	6.3182935e+17	1.5307113e-02
2.3644713e+06	1.7547181e+02	6.2554254e+17	1.5154804e-02
2.3734068e+06	1.7547181e+02	6.1931829e+17	1.5004011e-02
2.3823423e+06	1.7547181e+02	6.1315597e+17	1.4854719e-02
2.3912778e+06	1.7547181e+02	6.0705497e+17	1.4706912e-02
2.4002133e+06	1.7547181e+02	6.0101467e+17	1.4560576e-02
2.4091488e+06	1.7547181e+02	5.9503447e+17	1.4415696e-02
2.4180843e+06	1.7547181e+02	5.8911378e+17	1.4272257e-02
2.4270198e+06	1.7547181e+02	5.8325200e+17	1.4130246e-02
2.4359553e+06	1.7547181e+02	5.7744855e+17	1.3989647e-02
2.4448908e+06	1.7547181e+02	5.7170284e+17	1.3850448e-02
2.4538263e+06	1.7547181e+02	5.6601430e+17	1.3712634e-02
2.4627618e+06	1.7547181e+02	5.6038236e+17	1.3576191e-02
2.4716973e+06	1.7547181e+02	5.5480646e+17	1.3441106e-02
2.4806328e+06	1.7547181e+02	5.4928605e+17	1.3307364e-02
2.4895683e+06	1.7547181e+02	5.4382056e+17	1.3174954e-02
2.4985038e+06	1.7547181e+02	5.3840945e+17	1.3043861e-02
2.5074393e+06	1.7547181e+02	5.3305219e+17	1.2914072e-02
2.5163748e+06	1.7547181e+02	5.2774823e+17	1.2785575e-02
2.5253103e+06	1.7547181e+02	5.2249705e+17	1.2658357e-02
2.5342458e+06	1.7547181e+02	5.1729812e+17	1.2532404e-02
2.5431813e+06	1.7547181e+02	5.1215092e+17	1.2407704e-02
2.5521168e+06	1.7547181e+02	5.0705493e+17	1.2284246e-02
2.5610523e+06	1.7547181e+02	5.0200965e+17	1.2162015e-02
2.5699878e+06	1.7547181e+02	4.9701457e+17	1.2041001e-02
2.5789233e+06	1.7547181e+02	4.9206919e+17	1.1921191e-02
2.5878588e+06	1.7547181e+02	4.8717302e+17	1.1802573e-02
2.5967943e+06	1.7547181e+02	4.8232557e+17	1.1685136e-02
2.6057298e+06	1.7547181e+02	4.7752635e+17	1.1568867e-02
2.6146653e+06	1.7547181e+02	4.7277488e+17	1.1453755e-02
2.6236008e+06	1.7547181e+02	4.6807069e+17	1.1339788e-02
2.6325363e+06	1.7547181e+02	4.6341331e+17	1.1226955e-02
2.6414718e+06	1.7547181e+02	4.5880227e+17	1.1115245e-02
2.6504073e+06	1.7547181e+02	4.5423711e+17	1.1004646e-02
2.6593428e+06	1.7547181e+02	4.4971738e+17	1.0895148e-02
2.6682783e+06	1.7547181e+02	4.4524262e+17	1.0786740e-02
2.6772138e+06	1.7547181e+02	4.4081238e+17	1.0679410e-02
2.6861493e+06	1.7547181e+02	4.3642622e+17	1.0573148e-02
2.6950848e+06	1.7547181e+02	4.3208371e+17	1.0467944e-02
2.7040203e+06	1.7547181e+02	4.2778440e+17	1.0363786e-02
2.7129558e+06	1.7547181e+02	4.2352788e+17	1.0260664e-02
2.7218913e+06	1.7547181e+02	4.1931370e+17	1.0158569e-02
2.7308268e+06	1.7547181e+02	4.1514146e+17	1.0057490e-02
2.7397623e+06	1.7547181e+02	4.1101074e+17	9.9574159e-03
2.7486978e+06	1.7547181e+02	4.0692111e+17	9.8583380e-03
2.7576333e+06	1.7547181e+02	4.0287218e+17	9.7602459e-03
2.7665688e+06	1.7547181e+02	3.9886353e+17	9.6631298e-03
2.7755043e+06	1.7547181e+02	3.9489478e+17	9.5669801e-03
2.7844398e+06	1.7547181e+02	3.9096551e+17	9.4717870e-03
2.7933753e+06	1.7547181e+02	3.8707534e+17	9.3775412e-03
2.8023108e+06	1.7547181e+02	3.8322387e+17	9.2842331e-03
2.8112463e+06	1.7547181e+02	3.7941073e+17	9.1918534e-03
2.8201818e+06	1.7547181e+02	3.7563553e+17	9.1003929e-03
2.8291173e+06	1.7547181e+02	3.7189789e+17	9.0098425e-03
2.8380528e+06	1.7547181e+02	3.6819745e+17	8.9201931e-03
2.8469883e+06	1.7547181e+02	3.6453382e+17	8.8314357e-03
2.8559238e+06	1.7547181e+02	3.6090665e+17	8.7435614e-03
2.8648593e+06	1.7547181e+02	3.5731557e+17	8.6565615e-03
2.8737948e+06	1.7547181e+02	3.5376022e+17	8.5704273e-03
2.8827303e+06	1.7547181e+02	3.5024025e+17	8.4851501e-03
2.8916658e+06	1.7547181e+02	3.4675530e+17	8.4007215e-03
2.9006013e+06	1.7547181e+02	3.4330503e+17	8.3171329e-03
2.9095368e+06	1.7547181e+02	3.3988908e+17	8.2343760e-03
2.9184723e+06	1.7547181e+02	3.3650713e+17	8.1524426e-03
2.9274078e+06	1.7547181e+02	3.3315883e+17	8.0713245e-03
2.9363433e+06	1.7547181e+02	3.2984384e+17	7.9910135e-03
2.9452788e+06	1.7547181e+02	3.2656184e+17	7.9115015e-03
2.9542143e+06	1.7547181e+02	3.2331250e+17	7.8327808e-03
