# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.7247000e+06	1.8217162e+02	1.3680595e+19	3.4408981e-01
1.7339740e+06	1.8206691e+02	1.3552260e+19	3.4066606e-01
1.7432427e+06	1.8196233e+02	1.3425124e+19	3.3727637e-01
1.7525060e+06	1.8185787e+02	1.3299177e+19	3.3392042e-01
1.7617641e+06	1.8175353e+02	1.3174406e+19	3.3059785e-01
1.7710168e+06	1.8164931e+02	1.3050803e+19	3.2730835e-01
1.7802642e+06	1.8154521e+02	1.2928354e+19	3.2405157e-01
1.7895064e+06	1.8144122e+02	1.2807050e+19	3.2082721e-01
1.7987432e+06	1.8133736e+02	1.2686880e+19	3.1763492e-01
1.8079747e+06	1.8123361e+02	1.2567834e+19	3.1447440e-01
1.8172010e+06	1.8112999e+02	1.2449901e+19	3.1134533e-01
1.8264220e+06	1.8102648e+02	1.2333070e+19	3.0824739e-01
1.8356377e+06	1.8092309e+02	1.2217331e+19	3.0518028e-01
1.8448482e+06	1.8081982e+02	1.2102675e+19	3.0214368e-01
1.8540534e+06	1.8071666e+02	1.1989091e+19	2.9913730e-01
1.8632533e+06	1.8061363e+02	1.1876569e+19	2.9616083e-01
1.8724481e+06	1.8051071e+02	1.1765099e+19	2.9321398e-01
1.8816375e+06	1.8040790e+02	1.1654672e+19	2.9029646e-01
1.8908218e+06	1.8030522e+02	1.1545277e+19	2.8740796e-01
1.9000008e+06	1.8020265e+02	1.1436906e+19	2.8454820e-01
1.9091746e+06	1.8010020e+02	1.1329548e+19	2.8171690e-01
1.9183432e+06	1.7999787e+02	1.1223194e+19	2.7891377e-01
1.9275066e+06	1.7989565e+02	1.1117835e+19	2.7613853e-01
1.9366647e+06	1.7979354e+02	1.1013462e+19	2.7339090e-01
1.9458177e+06	1.7969156e+02	1.0910065e+19	2.7067062e-01
1.9549655e+06	1.7958969e+02	1.0807635e+19	2.6797740e-01
1.9641081e+06	1.7948793e+02	1.0706163e+19	2.6531098e-01
1.9732455e+06	1.7938629e+02	1.0605641e+19	2.6267109e-01
1.9823778e+06	1.7928476e+02	1.0506059e+19	2.6005747e-01
1.9915048e+06	1.7918335e+02	1.0407409e+19	2.5746985e-01
2.0006268e+06	1.7908206e+02	1.0309681e+19	2.5490798e-01
2.0097435e+06	1.7898088e+02	1.0212869e+19	2.5237161e-01
2.0188552e+06	1.7887981e+02	1.0116962e+19	2.4986047e-01
2.0279616e+06	1.7877886e+02	1.0021952e+19	2.4737431e-01
2.0370630e+06	1.7867802e+02	9.9278320e+18	2.4491290e-01
